class index,filepaths,labels,card type,data set
35,augmented/train/two of hearts/076_rot270_clean.png,two of hearts,two,augmented_train
17,augmented/train/two of spades/073_rot180_clean.png,two of spades,two,augmented_train
46,augmented/train/ace of diamonds/063_rot90_clean.png,ace of diamonds,ace,augmented_train
14,augmented/train/ten of diamonds/065_rot180_noisy.png,ten of diamonds,ten,augmented_train
32,augmented/train/queen of diamonds/077_rot180_clean.png,queen of diamonds,queen,augmented_train
6,augmented/train/three of spades/068_rot270_clean.png,three of spades,three,augmented_train
3,augmented/train/jack of spades/076_rot90_noisy.png,jack of spades,jack,augmented_train
13,augmented/train/eight of hearts/073_rot270_noisy.png,eight of hearts,eight,augmented_train
42,augmented/train/seven of diamonds/062_rot180_noisy.png,seven of diamonds,seven,augmented_train
1,augmented/train/king of clubs/057_rot90_noisy.png,king of clubs,king,augmented_train
30,augmented/train/queen of spades/086_rot90_noisy.png,queen of spades,queen,augmented_train
29,augmented/train/three of diamonds/082_rot180_noisy.png,three of diamonds,three,augmented_train
6,augmented/train/three of spades/069_rot90_noisy.png,three of spades,three,augmented_train
18,augmented/train/nine of spades/071_rot270_noisy.png,nine of spades,nine,augmented_train
4,augmented/train/ace of spades/102_rot270_noisy.png,ace of spades,ace,augmented_train
37,augmented/train/seven of spades/090_rot90_clean.png,seven of spades,seven,augmented_train
42,augmented/train/seven of diamonds/063_rot270_clean.png,seven of diamonds,seven,augmented_train
0,augmented/train/eight of spades/069_rot180_clean.png,eight of spades,eight,augmented_train
44,augmented/train/ten of hearts/061_rot180_noisy.png,ten of hearts,ten,augmented_train
2,augmented/train/jack of hearts/080_rot270_clean.png,jack of hearts,jack,augmented_train
52,augmented/train/queen of clubs/075_rot270_noisy.png,queen of clubs,queen,augmented_train
32,augmented/train/queen of diamonds/078_rot270_noisy.png,queen of diamonds,queen,augmented_train
10,augmented/train/ten of spades/077_rot90_clean.png,ten of spades,ten,augmented_train
38,augmented/train/six of spades/079_rot180_noisy.png,six of spades,six,augmented_train
52,augmented/train/queen of clubs/076_rot90_clean.png,queen of clubs,queen,augmented_train
49,augmented/train/seven of clubs/044_rot180_noisy.png,seven of clubs,seven,augmented_train
38,augmented/train/six of spades/080_rot90_noisy.png,six of spades,six,augmented_train
34,augmented/train/three of hearts/056_rot270_noisy.png,three of hearts,three,augmented_train
17,augmented/train/two of spades/074_rot180_clean.png,two of spades,two,augmented_train
46,augmented/train/ace of diamonds/064_rot180_clean.png,ace of diamonds,ace,augmented_train
44,augmented/train/ten of hearts/062_rot180_clean.png,ten of hearts,ten,augmented_train
3,augmented/train/jack of spades/077_rot90_noisy.png,jack of spades,jack,augmented_train
31,augmented/train/nine of clubs/046_rot180_clean.png,nine of clubs,nine,augmented_train
29,augmented/train/three of diamonds/083_rot180_clean.png,three of diamonds,three,augmented_train
11,augmented/train/four of diamonds/054_rot270_clean.png,four of diamonds,four,augmented_train
10,augmented/train/ten of spades/078_rot180_noisy.png,ten of spades,ten,augmented_train
16,augmented/train/six of hearts/058_rot180_noisy.png,six of hearts,six,augmented_train
47,augmented/train/five of spades/083_rot180_noisy.png,five of spades,five,augmented_train
52,augmented/train/queen of clubs/077_rot90_clean.png,queen of clubs,queen,augmented_train
10,augmented/train/ten of spades/079_rot270_noisy.png,ten of spades,ten,augmented_train
20,augmented/train/nine of hearts/072_rot270_clean.png,nine of hearts,nine,augmented_train
47,augmented/train/five of spades/084_rot180_noisy.png,five of spades,five,augmented_train
38,augmented/train/six of spades/081_rot180_noisy.png,six of spades,six,augmented_train
27,augmented/train/seven of hearts/061_rot90_clean.png,seven of hearts,seven,augmented_train
38,augmented/train/six of spades/082_rot270_clean.png,six of spades,six,augmented_train
35,augmented/train/two of hearts/077_rot180_noisy.png,two of hearts,two,augmented_train
7,augmented/train/jack of clubs/078_rot270_noisy.png,jack of clubs,jack,augmented_train
33,augmented/train/four of clubs/078_rot90_noisy.png,four of clubs,four,augmented_train
47,augmented/train/five of spades/085_rot90_clean.png,five of spades,five,augmented_train
24,augmented/train/queen of hearts/082_rot180_clean.png,queen of hearts,queen,augmented_train
3,augmented/train/jack of spades/078_rot90_clean.png,jack of spades,jack,augmented_train
33,augmented/train/four of clubs/077_rot180_noisy.png,four of clubs,four,augmented_train
39,augmented/train/five of clubs/073_rot180_clean.png,five of clubs,five,augmented_train
7,augmented/train/jack of clubs/079_rot180_clean.png,jack of clubs,jack,augmented_train
3,augmented/train/jack of spades/079_rot180_noisy.png,jack of spades,jack,augmented_train
35,augmented/train/two of hearts/078_rot180_clean.png,two of hearts,two,augmented_train
41,augmented/train/six of diamonds/067_rot180_clean.png,six of diamonds,six,augmented_train
46,augmented/train/ace of diamonds/065_rot270_clean.png,ace of diamonds,ace,augmented_train
45,augmented/train/king of hearts/053_rot270_clean.png,king of hearts,king,augmented_train
39,augmented/train/five of clubs/074_rot270_clean.png,five of clubs,five,augmented_train
4,augmented/train/ace of spades/103_rot180_clean.png,ace of spades,ace,augmented_train
16,augmented/train/six of hearts/060_rot90_clean.png,six of hearts,six,augmented_train
16,augmented/train/six of hearts/059_rot270_noisy.png,six of hearts,six,augmented_train
35,augmented/train/two of hearts/079_rot180_clean.png,two of hearts,two,augmented_train
19,augmented/train/ace of hearts/098_rot270_noisy.png,ace of hearts,ace,augmented_train
23,augmented/train/jack of diamonds/079_rot270_noisy.png,jack of diamonds,jack,augmented_train
7,augmented/train/jack of clubs/080_rot270_noisy.png,jack of clubs,jack,augmented_train
11,augmented/train/four of diamonds/055_rot90_clean.png,four of diamonds,four,augmented_train
17,augmented/train/two of spades/075_rot180_noisy.png,two of spades,two,augmented_train
50,augmented/train/nine of diamonds/065_rot270_clean.png,nine of diamonds,nine,augmented_train
35,augmented/train/two of hearts/080_rot180_noisy.png,two of hearts,two,augmented_train
1,augmented/train/king of clubs/058_rot270_noisy.png,king of clubs,king,augmented_train
25,augmented/train/four of spades/074_rot180_clean.png,four of spades,four,augmented_train
46,augmented/train/ace of diamonds/066_rot270_clean.png,ace of diamonds,ace,augmented_train
52,augmented/train/queen of clubs/078_rot90_clean.png,queen of clubs,queen,augmented_train
22,augmented/train/king of diamonds/065_rot180_noisy.png,king of diamonds,king,augmented_train
28,augmented/train/two of diamonds/066_rot90_clean.png,two of diamonds,two,augmented_train
10,augmented/train/ten of spades/080_rot270_noisy.png,ten of spades,ten,augmented_train
4,augmented/train/ace of spades/104_rot90_noisy.png,ace of spades,ace,augmented_train
47,augmented/train/five of spades/086_rot270_noisy.png,five of spades,five,augmented_train
43,augmented/train/six of clubs/082_rot90_clean.png,six of clubs,six,augmented_train
21,augmented/train/joker/050_rot270_noisy.png,joker,joker,augmented_train
23,augmented/train/jack of diamonds/080_rot90_noisy.png,jack of diamonds,jack,augmented_train
16,augmented/train/six of hearts/061_rot90_clean.png,six of hearts,six,augmented_train
9,augmented/train/four of hearts/079_rot90_clean.png,four of hearts,four,augmented_train
23,augmented/train/jack of diamonds/081_rot180_noisy.png,jack of diamonds,jack,augmented_train
29,augmented/train/three of diamonds/084_rot270_clean.png,three of diamonds,three,augmented_train
23,augmented/train/jack of diamonds/082_rot180_noisy.png,jack of diamonds,jack,augmented_train
10,augmented/train/ten of spades/081_rot90_noisy.png,ten of spades,ten,augmented_train
19,augmented/train/ace of hearts/099_rot180_noisy.png,ace of hearts,ace,augmented_train
14,augmented/train/ten of diamonds/066_rot90_noisy.png,ten of diamonds,ten,augmented_train
44,augmented/train/ten of hearts/063_rot90_noisy.png,ten of hearts,ten,augmented_train
31,augmented/train/nine of clubs/047_rot270_noisy.png,nine of clubs,nine,augmented_train
44,augmented/train/ten of hearts/064_rot270_noisy.png,ten of hearts,ten,augmented_train
47,augmented/train/five of spades/087_rot180_noisy.png,five of spades,five,augmented_train
27,augmented/train/seven of hearts/062_rot90_noisy.png,seven of hearts,seven,augmented_train
30,augmented/train/queen of spades/087_rot270_clean.png,queen of spades,queen,augmented_train
25,augmented/train/four of spades/075_rot180_clean.png,four of spades,four,augmented_train
15,augmented/train/king of spades/070_rot270_clean.png,king of spades,king,augmented_train
51,augmented/train/two of clubs/068_rot90_clean.png,two of clubs,two,augmented_train
46,augmented/train/ace of diamonds/067_rot90_noisy.png,ace of diamonds,ace,augmented_train
25,augmented/train/four of spades/076_rot90_clean.png,four of spades,four,augmented_train
24,augmented/train/queen of hearts/084_rot180_noisy.png,queen of hearts,queen,augmented_train
35,augmented/train/two of hearts/081_rot90_noisy.png,two of hearts,two,augmented_train
3,augmented/train/jack of spades/080_rot90_noisy.png,jack of spades,jack,augmented_train
18,augmented/train/nine of spades/072_rot90_clean.png,nine of spades,nine,augmented_train
10,augmented/train/ten of spades/082_rot90_clean.png,ten of spades,ten,augmented_train
35,augmented/train/two of hearts/082_rot90_noisy.png,two of hearts,two,augmented_train
22,augmented/train/king of diamonds/066_rot180_noisy.png,king of diamonds,king,augmented_train
49,augmented/train/seven of clubs/045_rot270_noisy.png,seven of clubs,seven,augmented_train
24,augmented/train/queen of hearts/083_rot270_clean.png,queen of hearts,queen,augmented_train
4,augmented/train/ace of spades/105_rot180_clean.png,ace of spades,ace,augmented_train
24,augmented/train/queen of hearts/085_rot270_noisy.png,queen of hearts,queen,augmented_train
45,augmented/train/king of hearts/054_rot90_noisy.png,king of hearts,king,augmented_train
45,augmented/train/king of hearts/055_rot90_noisy.png,king of hearts,king,augmented_train
1,augmented/train/king of clubs/059_rot180_clean.png,king of clubs,king,augmented_train
1,augmented/train/king of clubs/060_rot270_noisy.png,king of clubs,king,augmented_train
23,augmented/train/jack of diamonds/083_rot180_noisy.png,jack of diamonds,jack,augmented_train
41,augmented/train/six of diamonds/068_rot180_noisy.png,six of diamonds,six,augmented_train
38,augmented/train/six of spades/083_rot270_noisy.png,six of spades,six,augmented_train
43,augmented/train/six of clubs/083_rot180_clean.png,six of clubs,six,augmented_train
39,augmented/train/five of clubs/075_rot270_noisy.png,five of clubs,five,augmented_train
45,augmented/train/king of hearts/056_rot90_clean.png,king of hearts,king,augmented_train
0,augmented/train/eight of spades/070_rot180_noisy.png,eight of spades,eight,augmented_train
24,augmented/train/queen of hearts/086_rot270_clean.png,queen of hearts,queen,augmented_train
10,augmented/train/ten of spades/083_rot90_clean.png,ten of spades,ten,augmented_train
32,augmented/train/queen of diamonds/079_rot180_clean.png,queen of diamonds,queen,augmented_train
26,augmented/train/ten of clubs/080_rot90_noisy.png,ten of clubs,ten,augmented_train
41,augmented/train/six of diamonds/069_rot270_noisy.png,six of diamonds,six,augmented_train
37,augmented/train/seven of spades/091_rot270_noisy.png,seven of spades,seven,augmented_train
4,augmented/train/ace of spades/106_rot90_noisy.png,ace of spades,ace,augmented_train
28,augmented/train/two of diamonds/067_rot270_clean.png,two of diamonds,two,augmented_train
34,augmented/train/three of hearts/057_rot180_noisy.png,three of hearts,three,augmented_train
30,augmented/train/queen of spades/088_rot180_noisy.png,queen of spades,queen,augmented_train
16,augmented/train/six of hearts/062_rot90_clean.png,six of hearts,six,augmented_train
34,augmented/train/three of hearts/058_rot180_noisy.png,three of hearts,three,augmented_train
13,augmented/train/eight of hearts/074_rot90_clean.png,eight of hearts,eight,augmented_train
45,augmented/train/king of hearts/057_rot180_noisy.png,king of hearts,king,augmented_train
27,augmented/train/seven of hearts/063_rot270_noisy.png,seven of hearts,seven,augmented_train
49,augmented/train/seven of clubs/046_rot180_noisy.png,seven of clubs,seven,augmented_train
24,augmented/train/queen of hearts/087_rot180_clean.png,queen of hearts,queen,augmented_train
29,augmented/train/three of diamonds/085_rot180_clean.png,three of diamonds,three,augmented_train
13,augmented/train/eight of hearts/075_rot270_clean.png,eight of hearts,eight,augmented_train
27,augmented/train/seven of hearts/064_rot270_noisy.png,seven of hearts,seven,augmented_train
15,augmented/train/king of spades/071_rot90_noisy.png,king of spades,king,augmented_train
38,augmented/train/six of spades/084_rot270_noisy.png,six of spades,six,augmented_train
34,augmented/train/three of hearts/059_rot90_clean.png,three of hearts,three,augmented_train
21,augmented/train/joker/051_rot180_clean.png,joker,joker,augmented_train
32,augmented/train/queen of diamonds/080_rot270_clean.png,queen of diamonds,queen,augmented_train
51,augmented/train/two of clubs/069_rot180_clean.png,two of clubs,two,augmented_train
0,augmented/train/eight of spades/071_rot90_noisy.png,eight of spades,eight,augmented_train
11,augmented/train/four of diamonds/056_rot270_clean.png,four of diamonds,four,augmented_train
45,augmented/train/king of hearts/058_rot90_clean.png,king of hearts,king,augmented_train
6,augmented/train/three of spades/070_rot270_clean.png,three of spades,three,augmented_train
7,augmented/train/jack of clubs/081_rot180_clean.png,jack of clubs,jack,augmented_train
3,augmented/train/jack of spades/081_rot270_noisy.png,jack of spades,jack,augmented_train
35,augmented/train/two of hearts/083_rot270_noisy.png,two of hearts,two,augmented_train
46,augmented/train/ace of diamonds/068_rot90_noisy.png,ace of diamonds,ace,augmented_train
16,augmented/train/six of hearts/063_rot270_clean.png,six of hearts,six,augmented_train
3,augmented/train/jack of spades/082_rot90_clean.png,jack of spades,jack,augmented_train
16,augmented/train/six of hearts/064_rot270_clean.png,six of hearts,six,augmented_train
4,augmented/train/ace of spades/107_rot90_noisy.png,ace of spades,ace,augmented_train
27,augmented/train/seven of hearts/065_rot270_clean.png,seven of hearts,seven,augmented_train
12,augmented/train/five of hearts/073_rot180_clean.png,five of hearts,five,augmented_train
29,augmented/train/three of diamonds/086_rot90_clean.png,three of diamonds,three,augmented_train
22,augmented/train/king of diamonds/067_rot90_noisy.png,king of diamonds,king,augmented_train
40,augmented/train/three of clubs/065_rot90_clean.png,three of clubs,three,augmented_train
19,augmented/train/ace of hearts/100_rot270_clean.png,ace of hearts,ace,augmented_train
29,augmented/train/three of diamonds/087_rot270_noisy.png,three of diamonds,three,augmented_train
10,augmented/train/ten of spades/084_rot270_clean.png,ten of spades,ten,augmented_train
1,augmented/train/king of clubs/061_rot270_clean.png,king of clubs,king,augmented_train
28,augmented/train/two of diamonds/068_rot270_clean.png,two of diamonds,two,augmented_train
45,augmented/train/king of hearts/059_rot180_noisy.png,king of hearts,king,augmented_train
44,augmented/train/ten of hearts/065_rot180_clean.png,ten of hearts,ten,augmented_train
37,augmented/train/seven of spades/092_rot180_noisy.png,seven of spades,seven,augmented_train
35,augmented/train/two of hearts/085_rot180_clean.png,two of hearts,two,augmented_train
9,augmented/train/four of hearts/080_rot90_clean.png,four of hearts,four,augmented_train
35,augmented/train/two of hearts/084_rot90_noisy.png,two of hearts,two,augmented_train
12,augmented/train/five of hearts/074_rot270_noisy.png,five of hearts,five,augmented_train
27,augmented/train/seven of hearts/066_rot270_clean.png,seven of hearts,seven,augmented_train
19,augmented/train/ace of hearts/101_rot270_clean.png,ace of hearts,ace,augmented_train
52,augmented/train/queen of clubs/079_rot90_clean.png,queen of clubs,queen,augmented_train
17,augmented/train/two of spades/076_rot180_noisy.png,two of spades,two,augmented_train
26,augmented/train/ten of clubs/081_rot270_noisy.png,ten of clubs,ten,augmented_train
46,augmented/train/ace of diamonds/069_rot180_clean.png,ace of diamonds,ace,augmented_train
27,augmented/train/seven of hearts/067_rot90_noisy.png,seven of hearts,seven,augmented_train
15,augmented/train/king of spades/072_rot270_clean.png,king of spades,king,augmented_train
37,augmented/train/seven of spades/093_rot270_noisy.png,seven of spades,seven,augmented_train
41,augmented/train/six of diamonds/070_rot180_clean.png,six of diamonds,six,augmented_train
36,augmented/train/eight of clubs/072_rot270_clean.png,eight of clubs,eight,augmented_train
35,augmented/train/two of hearts/086_rot180_clean.png,two of hearts,two,augmented_train
17,augmented/train/two of spades/077_rot90_clean.png,two of spades,two,augmented_train
29,augmented/train/three of diamonds/088_rot90_clean.png,three of diamonds,three,augmented_train
18,augmented/train/nine of spades/073_rot180_noisy.png,nine of spades,nine,augmented_train
31,augmented/train/nine of clubs/048_rot180_clean.png,nine of clubs,nine,augmented_train
21,augmented/train/joker/052_rot180_noisy.png,joker,joker,augmented_train
24,augmented/train/queen of hearts/088_rot270_clean.png,queen of hearts,queen,augmented_train
40,augmented/train/three of clubs/066_rot270_clean.png,three of clubs,three,augmented_train
45,augmented/train/king of hearts/060_rot180_noisy.png,king of hearts,king,augmented_train
43,augmented/train/six of clubs/084_rot270_clean.png,six of clubs,six,augmented_train
16,augmented/train/six of hearts/065_rot90_clean.png,six of hearts,six,augmented_train
20,augmented/train/nine of hearts/073_rot90_noisy.png,nine of hearts,nine,augmented_train
31,augmented/train/nine of clubs/049_rot180_noisy.png,nine of clubs,nine,augmented_train
48,augmented/train/ace of clubs/055_rot90_clean.png,ace of clubs,ace,augmented_train
25,augmented/train/four of spades/077_rot270_noisy.png,four of spades,four,augmented_train
17,augmented/train/two of spades/078_rot270_clean.png,two of spades,two,augmented_train
32,augmented/train/queen of diamonds/081_rot180_noisy.png,queen of diamonds,queen,augmented_train
46,augmented/train/ace of diamonds/070_rot180_noisy.png,ace of diamonds,ace,augmented_train
3,augmented/train/jack of spades/083_rot180_noisy.png,jack of spades,jack,augmented_train
14,augmented/train/ten of diamonds/067_rot180_noisy.png,ten of diamonds,ten,augmented_train
44,augmented/train/ten of hearts/066_rot270_clean.png,ten of hearts,ten,augmented_train
25,augmented/train/four of spades/078_rot180_clean.png,four of spades,four,augmented_train
8,augmented/train/eight of diamonds/093_rot180_clean.png,eight of diamonds,eight,augmented_train
5,augmented/train/five of diamonds/066_rot180_clean.png,five of diamonds,five,augmented_train
33,augmented/train/four of clubs/079_rot180_clean.png,four of clubs,four,augmented_train
29,augmented/train/three of diamonds/089_rot90_noisy.png,three of diamonds,three,augmented_train
32,augmented/train/queen of diamonds/082_rot270_clean.png,queen of diamonds,queen,augmented_train
13,augmented/train/eight of hearts/076_rot270_noisy.png,eight of hearts,eight,augmented_train
36,augmented/train/eight of clubs/073_rot180_clean.png,eight of clubs,eight,augmented_train
29,augmented/train/three of diamonds/090_rot270_noisy.png,three of diamonds,three,augmented_train
40,augmented/train/three of clubs/067_rot180_clean.png,three of clubs,three,augmented_train
45,augmented/train/king of hearts/061_rot180_clean.png,king of hearts,king,augmented_train
2,augmented/train/jack of hearts/081_rot270_noisy.png,jack of hearts,jack,augmented_train
24,augmented/train/queen of hearts/089_rot270_noisy.png,queen of hearts,queen,augmented_train
1,augmented/train/king of clubs/062_rot90_clean.png,king of clubs,king,augmented_train
49,augmented/train/seven of clubs/047_rot90_clean.png,seven of clubs,seven,augmented_train
25,augmented/train/four of spades/079_rot270_clean.png,four of spades,four,augmented_train
3,augmented/train/jack of spades/084_rot180_clean.png,jack of spades,jack,augmented_train
4,augmented/train/ace of spades/108_rot180_clean.png,ace of spades,ace,augmented_train
38,augmented/train/six of spades/085_rot180_noisy.png,six of spades,six,augmented_train
19,augmented/train/ace of hearts/102_rot90_noisy.png,ace of hearts,ace,augmented_train
2,augmented/train/jack of hearts/082_rot90_noisy.png,jack of hearts,jack,augmented_train
45,augmented/train/king of hearts/062_rot270_noisy.png,king of hearts,king,augmented_train
3,augmented/train/jack of spades/086_rot270_clean.png,jack of spades,jack,augmented_train
22,augmented/train/king of diamonds/068_rot180_clean.png,king of diamonds,king,augmented_train
7,augmented/train/jack of clubs/082_rot270_noisy.png,jack of clubs,jack,augmented_train
3,augmented/train/jack of spades/085_rot90_clean.png,jack of spades,jack,augmented_train
47,augmented/train/five of spades/088_rot90_noisy.png,five of spades,five,augmented_train
38,augmented/train/six of spades/086_rot270_noisy.png,six of spades,six,augmented_train
20,augmented/train/nine of hearts/074_rot270_noisy.png,nine of hearts,nine,augmented_train
44,augmented/train/ten of hearts/067_rot180_clean.png,ten of hearts,ten,augmented_train
51,augmented/train/two of clubs/070_rot90_clean.png,two of clubs,two,augmented_train
19,augmented/train/ace of hearts/103_rot180_noisy.png,ace of hearts,ace,augmented_train
17,augmented/train/two of spades/079_rot270_clean.png,two of spades,two,augmented_train
43,augmented/train/six of clubs/085_rot180_clean.png,six of clubs,six,augmented_train
48,augmented/train/ace of clubs/056_rot90_clean.png,ace of clubs,ace,augmented_train
3,augmented/train/jack of spades/087_rot90_clean.png,jack of spades,jack,augmented_train
6,augmented/train/three of spades/071_rot270_noisy.png,three of spades,three,augmented_train
10,augmented/train/ten of spades/085_rot90_noisy.png,ten of spades,ten,augmented_train
23,augmented/train/jack of diamonds/084_rot270_noisy.png,jack of diamonds,jack,augmented_train
28,augmented/train/two of diamonds/069_rot90_noisy.png,two of diamonds,two,augmented_train
4,augmented/train/ace of spades/110_rot180_clean.png,ace of spades,ace,augmented_train
20,augmented/train/nine of hearts/075_rot90_clean.png,nine of hearts,nine,augmented_train
4,augmented/train/ace of spades/109_rot180_clean.png,ace of spades,ace,augmented_train
37,augmented/train/seven of spades/094_rot270_clean.png,seven of spades,seven,augmented_train
10,augmented/train/ten of spades/086_rot90_noisy.png,ten of spades,ten,augmented_train
8,augmented/train/eight of diamonds/094_rot90_noisy.png,eight of diamonds,eight,augmented_train
52,augmented/train/queen of clubs/080_rot90_clean.png,queen of clubs,queen,augmented_train
2,augmented/train/jack of hearts/083_rot90_clean.png,jack of hearts,jack,augmented_train
41,augmented/train/six of diamonds/071_rot180_noisy.png,six of diamonds,six,augmented_train
46,augmented/train/ace of diamonds/071_rot180_clean.png,ace of diamonds,ace,augmented_train
51,augmented/train/two of clubs/071_rot270_noisy.png,two of clubs,two,augmented_train
49,augmented/train/seven of clubs/048_rot270_clean.png,seven of clubs,seven,augmented_train
50,augmented/train/nine of diamonds/066_rot90_clean.png,nine of diamonds,nine,augmented_train
33,augmented/train/four of clubs/080_rot180_clean.png,four of clubs,four,augmented_train
1,augmented/train/king of clubs/063_rot180_noisy.png,king of clubs,king,augmented_train
23,augmented/train/jack of diamonds/085_rot270_noisy.png,jack of diamonds,jack,augmented_train
17,augmented/train/two of spades/080_rot90_clean.png,two of spades,two,augmented_train
45,augmented/train/king of hearts/063_rot90_noisy.png,king of hearts,king,augmented_train
3,augmented/train/jack of spades/088_rot180_clean.png,jack of spades,jack,augmented_train
24,augmented/train/queen of hearts/090_rot270_clean.png,queen of hearts,queen,augmented_train
46,augmented/train/ace of diamonds/072_rot270_noisy.png,ace of diamonds,ace,augmented_train
22,augmented/train/king of diamonds/069_rot180_noisy.png,king of diamonds,king,augmented_train
33,augmented/train/four of clubs/081_rot180_noisy.png,four of clubs,four,augmented_train
50,augmented/train/nine of diamonds/067_rot180_noisy.png,nine of diamonds,nine,augmented_train
9,augmented/train/four of hearts/081_rot180_noisy.png,four of hearts,four,augmented_train
30,augmented/train/queen of spades/089_rot270_noisy.png,queen of spades,queen,augmented_train
23,augmented/train/jack of diamonds/086_rot90_noisy.png,jack of diamonds,jack,augmented_train
37,augmented/train/seven of spades/095_rot270_noisy.png,seven of spades,seven,augmented_train
30,augmented/train/queen of spades/090_rot180_clean.png,queen of spades,queen,augmented_train
51,augmented/train/two of clubs/072_rot270_clean.png,two of clubs,two,augmented_train
13,augmented/train/eight of hearts/077_rot270_noisy.png,eight of hearts,eight,augmented_train
33,augmented/train/four of clubs/082_rot180_noisy.png,four of clubs,four,augmented_train
14,augmented/train/ten of diamonds/068_rot90_noisy.png,ten of diamonds,ten,augmented_train
48,augmented/train/ace of clubs/057_rot180_noisy.png,ace of clubs,ace,augmented_train
10,augmented/train/ten of spades/087_rot180_clean.png,ten of spades,ten,augmented_train
1,augmented/train/king of clubs/064_rot180_noisy.png,king of clubs,king,augmented_train
15,augmented/train/king of spades/073_rot180_noisy.png,king of spades,king,augmented_train
42,augmented/train/seven of diamonds/064_rot270_clean.png,seven of diamonds,seven,augmented_train
35,augmented/train/two of hearts/087_rot270_noisy.png,two of hearts,two,augmented_train
9,augmented/train/four of hearts/082_rot180_noisy.png,four of hearts,four,augmented_train
37,augmented/train/seven of spades/096_rot180_clean.png,seven of spades,seven,augmented_train
41,augmented/train/six of diamonds/072_rot90_noisy.png,six of diamonds,six,augmented_train
19,augmented/train/ace of hearts/104_rot270_noisy.png,ace of hearts,ace,augmented_train
10,augmented/train/ten of spades/088_rot90_noisy.png,ten of spades,ten,augmented_train
39,augmented/train/five of clubs/076_rot180_clean.png,five of clubs,five,augmented_train
31,augmented/train/nine of clubs/050_rot180_noisy.png,nine of clubs,nine,augmented_train
28,augmented/train/two of diamonds/070_rot270_clean.png,two of diamonds,two,augmented_train
13,augmented/train/eight of hearts/078_rot90_noisy.png,eight of hearts,eight,augmented_train
14,augmented/train/ten of diamonds/069_rot270_clean.png,ten of diamonds,ten,augmented_train
14,augmented/train/ten of diamonds/070_rot180_clean.png,ten of diamonds,ten,augmented_train
47,augmented/train/five of spades/089_rot90_clean.png,five of spades,five,augmented_train
21,augmented/train/joker/053_rot270_clean.png,joker,joker,augmented_train
42,augmented/train/seven of diamonds/065_rot180_clean.png,seven of diamonds,seven,augmented_train
19,augmented/train/ace of hearts/105_rot270_noisy.png,ace of hearts,ace,augmented_train
32,augmented/train/queen of diamonds/083_rot90_noisy.png,queen of diamonds,queen,augmented_train
51,augmented/train/two of clubs/073_rot270_noisy.png,two of clubs,two,augmented_train
15,augmented/train/king of spades/074_rot90_clean.png,king of spades,king,augmented_train
25,augmented/train/four of spades/080_rot90_clean.png,four of spades,four,augmented_train
49,augmented/train/seven of clubs/049_rot90_noisy.png,seven of clubs,seven,augmented_train
27,augmented/train/seven of hearts/068_rot270_noisy.png,seven of hearts,seven,augmented_train
26,augmented/train/ten of clubs/082_rot90_clean.png,ten of clubs,ten,augmented_train
29,augmented/train/three of diamonds/091_rot90_clean.png,three of diamonds,three,augmented_train
7,augmented/train/jack of clubs/083_rot270_noisy.png,jack of clubs,jack,augmented_train
29,augmented/train/three of diamonds/092_rot270_noisy.png,three of diamonds,three,augmented_train
21,augmented/train/joker/054_rot180_clean.png,joker,joker,augmented_train
38,augmented/train/six of spades/087_rot90_noisy.png,six of spades,six,augmented_train
19,augmented/train/ace of hearts/106_rot90_clean.png,ace of hearts,ace,augmented_train
47,augmented/train/five of spades/090_rot270_noisy.png,five of spades,five,augmented_train
27,augmented/train/seven of hearts/069_rot270_clean.png,seven of hearts,seven,augmented_train
35,augmented/train/two of hearts/088_rot180_noisy.png,two of hearts,two,augmented_train
38,augmented/train/six of spades/088_rot270_noisy.png,six of spades,six,augmented_train
4,augmented/train/ace of spades/111_rot270_clean.png,ace of spades,ace,augmented_train
0,augmented/train/eight of spades/072_rot270_clean.png,eight of spades,eight,augmented_train
21,augmented/train/joker/055_rot90_noisy.png,joker,joker,augmented_train
33,augmented/train/four of clubs/083_rot180_noisy.png,four of clubs,four,augmented_train
3,augmented/train/jack of spades/089_rot270_clean.png,jack of spades,jack,augmented_train
21,augmented/train/joker/056_rot270_noisy.png,joker,joker,augmented_train
35,augmented/train/two of hearts/089_rot270_noisy.png,two of hearts,two,augmented_train
39,augmented/train/five of clubs/077_rot270_clean.png,five of clubs,five,augmented_train
47,augmented/train/five of spades/091_rot270_clean.png,five of spades,five,augmented_train
46,augmented/train/ace of diamonds/073_rot90_clean.png,ace of diamonds,ace,augmented_train
50,augmented/train/nine of diamonds/068_rot270_noisy.png,nine of diamonds,nine,augmented_train
17,augmented/train/two of spades/081_rot90_noisy.png,two of spades,two,augmented_train
12,augmented/train/five of hearts/075_rot90_clean.png,five of hearts,five,augmented_train
40,augmented/train/three of clubs/068_rot180_clean.png,three of clubs,three,augmented_train
13,augmented/train/eight of hearts/079_rot270_noisy.png,eight of hearts,eight,augmented_train
30,augmented/train/queen of spades/091_rot180_noisy.png,queen of spades,queen,augmented_train
24,augmented/train/queen of hearts/091_rot270_noisy.png,queen of hearts,queen,augmented_train
50,augmented/train/nine of diamonds/069_rot180_noisy.png,nine of diamonds,nine,augmented_train
8,augmented/train/eight of diamonds/095_rot270_noisy.png,eight of diamonds,eight,augmented_train
43,augmented/train/six of clubs/086_rot180_noisy.png,six of clubs,six,augmented_train
